,Ten tap chi,issn,online issn,print issn,linking issn,impact_factor
37,Acta Physico-Chimica Sinica, 1872-1508,,,,
38,Acta Poética, 0185-3082,,,,
39,Acta Psychologica,, 1873-6297, 0001-6918,,1.8
40,Acta Sociológica, 0186-6028,,,,
41,Acta Tropica,, 1873-6254,, 0001-706X,2.7
42,Acta Urológica Portuguesa, 2341-4022,,,,
43,Actas Dermo-Sifiliográficas,,, 0001-7310,,3.2
44,Actas Dermo-Sifiliográficas (English Edition), 1578-2190,,,,
45,Actas Urológicas Españolas,, 1699-7980, 0210-4806,,1.1
46,Actas Urológicas Españolas (English Edition),, 2173-5786,,,
47,Actividad Dietética, 1138-0322,,,,
48,Actualités Pharmaceutiques,, 2352-7978, 0515-3700,,0.1
49,Actualités Pharmaceutiques Hospitalières, 1769-7344,,,,
50,Acupuncture and Related Therapies, 2211-7660,,,,
51,Acute Pain, 1366-0071,,,,
52,Ad Hoc Networks,, 1570-8713, 1570-8705,,4.8
53,Addiction Neuroscience,, 2772-3925,,,
54,Addictive Behaviors,, 1873-6327, 0306-4603,,4.4
55,Addictive Behaviors Reports,, 2352-8532,,,4.4
56,Additive Manufacturing,, 2214-7810, 2214-8604,,11
57,Additive Manufacturing Letters, 2772-3690,,,,11
58,Additives for Polymers, 0306-3747,,,,
59,Adolescent and Pediatric Gynecology, 0932-8610,,,,
60,Advanced Agrochem, 2773-2371,,,,
61,Advanced Cement Based Materials, 1065-7355,,,,
62,Advanced Design Research, 2949-7825,,,,
63,Advanced Drug Delivery Reviews,, 1872-8294, 0169-409X,,16.1
64,Advanced Energy Conversion, 0365-1789,,,,
65,Advanced Engineering Informatics,, 1873-5320, 1474-0346,,8.8
66,Advanced Industrial and Engineering Polymer Research,, 2542-5048,,,
67,Advanced Membranes, 2772-8234,,,,
68,Advanced Nanocomposites, 2949-9445,,,,
69,Advanced Powder Materials, 2772-834X,,,,
70,Advanced Powder Technology,, 1568-5527, 0921-8831,,5.2
71,Advanced Sensor and Energy Materials, 2773-045X,,,,
72,Advanced Synthesis and Catalysis, 1615-4150,,,,
73,Advances in Accounting,, 2590-1699, 0882-6110,,1.6
74,Advances in Anesthesia,, 1878-0415, 0737-6146,,
75,Advances in Animal Biosciences, 2040-4700,,,,
76,Advances in Applied Energy,, 2666-7924,,,11.2
77,Advances in Applied Mathematics,, 1090-2074, 0196-8858,,1.1
78,Advances in Archaeomaterials,, 2667-1360,,,
79,Advances in Bamboo Science, 2773-1391,,,,
80,Advances in Behaviour Research and Therapy, 0146-6402,,,,
81,Advances in Biological Regulation,, 2212-4934, 2212-4926,,
82,Advances in Biomarker Sciences and Technology,, 2543-1064,,,
83,Advances in Biophysics, 0065-227X,,,,
84,Advances in Cancer Biology - Metastasis,, 2667-3940,,,
85,Advances in Chronic Kidney Disease, 1548-5595,,,,
86,Advances in Climate Change Research,, 2524-1761, 1674-9278,,7.4
87,Advances in Clinical Radiology,, 2589-8701, 2589-8744,,
88,Advances in Colloid and Interface Science,, 1873-3727, 0001-8686,,15.6
89,Advances in Cosmetic Surgery,, 2542-4327, 2542-4793,,
90,Advances in Dermatology, 0882-0880,,,,
91,Advances in Digestive Medicine, 2351-9797,,,,
92,Advances in Engineering Software,, 1873-5339, 0965-9978,,4.8
93,Advances in Engineering Software and Workstations, 0961-3552,,,,
94,Advances in Engineering Software (1978), 0141-1195,,,,
95,Advances in Environmental Research, 1093-0191,,,,
96,Advances in Enzyme Regulation, 0065-2571,,,,
97,Advances in Family Practice Nursing,, 2589-420X, 2589-4722,,
98,Advances in Free Radical Biology & Medicine, 8755-9668,,,,
99,Advances in Industrial and Manufacturing Engineering,, 2666-9129,,,
100,Advances in Integrative Medicine,, 2212-9596, 2212-9588,,1.7
101,Advances in International Accounting, 0897-3660,,,,
102,Advances in Kidney Disease and Health,, 2949-8139, 2949-8147,,2.9
103,Advances in Life Course Research,, 1040-2608, 1040-2608,,3.4
104,Advances in Mathematics,, 1090-2082, 0001-8708,,1.7
105,Advances in Medical Sciences,, 1898-4002, 1896-1126,,2.7
106,Advances in Molecular Pathology,, 2589-4080, 2589-515X,,
107,Advances in Molecular Relaxation and Interaction Processes, 0378-4487,,,,
108,Advances in Molecular Relaxation Processes, 0001-8716,,,,
109,Advances in Neuroimmunology, 0960-5428,,,,
110,Advances in Nutrition, 2161-8313,,,,9.3
111,Advances in Oncology, 2666-853X,,,,
112,Advances in Ophthalmology and Optometry,, 2452-1760, 2950-452X,,
113,Advances in Ophthalmology Practice and Research, 2667-3762,,,,
114,Advances in Oral and Maxillofacial Surgery,, 2667-1476,,,1.8
115,Advances in Pediatrics,, 1878-1926, 0065-3101,,
116,Advances in Psychiatry and Behavioral Health, 2667-3827,,,,
117,Advances in Radiation Oncology,, 2452-1094,,,2.3
118,Advances in Redox Research, 2667-1379,,,,
119,Advances in Renal Replacement Therapy, 1073-4449,,,,
120,Advances in Sample Preparation, 2772-5820,,,,
121,Advances in Small Animal Care, 2666-450X,,,,
122,Advances in Small Animal Medicine and Surgery, 1041-7826,,,,
123,Advances in Space Research,, 1879-1948, 0273-1177,,2.6
124,Advances in Surgery,, 1878-0555, 0065-3411,,
125,Advances in Water Resources,, 1872-9657, 0309-1708,,4.7
126,Aeolian Research,, 2212-1684, 1875-9637,,3.3
127,AeroMedical Journal, 0894-8321,,,,
128,Aerospace Science and Technology,, 1626-3219, 1270-9638,,5.6
129,Aesthetic Surgery Journal, 1090-820X,,,,
130,AEU - International Journal of Electronics and Communications,, 1618-0399, 1434-8411,,3.2
131,African Journal of Emergency Medicine,, 2211-4203, 2211-419X,,1.3
132,African Journal of Urology, 1110-5704,,,,
133,African Transport Studies, 2950-1962,,,,
134,Ageing Research Reviews,, 1872-9649, 1568-1637,,13.1
135,Aggression and Violent Behavior,, 1873-6335, 1359-1789,,4.6
136,Aging Brain,, 2589-9589,,,4.2
137,Aging and Health Research,, 2667-0321,,,
138,Agri Gene, 2352-2151,,,,
139,Agricultural Administration, 0309-586X,,,,
140,Agricultural Administration and Extension, 0269-7475,,,,
141,Agricultural Economics, 0169-5150,,,,
142,Agricultural and Forest Meteorology,, 1873-2240, 0168-1923,,6.2
143,Agricultural Meteorology, 0002-1571,,,,
144,Agricultural Sciences in China, 1671-2927,,,,
145,Agricultural Systems,, 1873-2267, 0308-521X,,6.6
146,Agricultural Wastes, 0141-4607,,,,
147,Agricultural Water Management,, 1873-2283,, 0378-3774,6.7
148,Agriculture and Agricultural Science Procedia, 2210-7843,,,,
149,Agriculture Communications, 2949-7981,,,,
150,"Agriculture, Ecosystems & Environment",, 1873-2305, 0167-8809,,6.6
151,Agriculture and Environment, 0304-1131,,,,
152,Agriculture and Natural Resources, 2452-316X,,,,
153,Agro-Ecosystems, 0304-3746,,,,
154,AI Open,, 2666-6510,,,
155,L'Aide-Soignante,, 2772-8048, 1166-3413,,
156,Ain Shams Engineering Journal,, 2090-4495, 2090-4479,,6
157,Air Medical Journal,, 1532-6497, 1067-991X,,
158,Air & Space Europe, 1290-0958,,,,
159,Aircraft Design, 1369-8869,,,,
160,AJO International, 2950-2535,,,,4.2
161,AJO-DO Clinical Companion, 2666-4305,,,,
162,AJOG Global Reports,, 2666-5778,,,9.8
163,AJPM Focus, 2773-0654,,,,5.5
164,AKCE International Journal of Graphs and Combinatorics, 0972-8600,,,,
165,Alcohol,, 1873-6823, 0741-8329,,2.3
166,Alcoholism and Drug Addiction, 0867-4361,,,,
167,Alergologia Polska - Polish Journal of Allergology, 2353-3854,,,,
168,Alexandria Engineering Journal,, 2090-2670, 1110-0168,,6.8
169,Alexandria Journal of Medicine, 2090-5068,,,,
170,Algal Research,, 2211-9264,,,5.1
171,Allergologia et Immunopathologia, 0301-0546,,,,
172,Allergology International,, 1440-1592, 1323-8930,,6.8
173,Alpha Omegan, 0002-6417,,,,
174,Alter, 1875-0672,,,,
175,Alzheimer's & Dementia, 1552-5260,,,,
176,"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring", 2352-8729,,,,
177,Alzheimer's & Dementia: Translational Research & Clinical Interventions, 2352-8737,,,,
178,Ambulatory Pediatrics, 1530-1567,,,,
179,Ambulatory Surgery, 0966-6532,,,,
180,American Heart Journal,, 1097-6744, 0002-8703,,4.8
181,American Heart Journal Plus: Cardiology Research and Practice,, 2666-6022,,,4.8
182,American Intra-Ocular Implant Society Journal, 0146-2776,,,,
183,American Intra-Ocular Implant Society Newsletter, 0361-235X,,,,
184,The American Journal of Cardiology,, 1879-1913, 0002-9149,,2.8
185,The American Journal of Clinical Nutrition, 0002-9165,,,,7.1
186,American Journal of Contact Dermatitis, 1046-199X,,,,
187,The American Journal of Emergency Medicine,, 1532-8171, 0735-6757,,3.6
188,The American Journal of Evaluation, 1098-2140,,,,
189,The American Journal of Gastroenterology, 0002-9270,,,,
190,The American Journal of Geriatric Pharmacotherapy, 1543-5946,,,,
191,The American Journal of Geriatric Psychiatry,, 1545-7214, 1064-7481,,7.2
192,The American Journal of Human Genetics,, 1537-6605, 0002-9297,,
193,American Journal of Hypertension, 0895-7061,,,,
194,American Journal of Infection Control,, 1527-3296, 0196-6553,,4.9
195,American Journal of Kidney Diseases,, 1523-6838, 0272-6386,,13.2
196,The American Journal of the Medical Sciences,, 1538-2990, 0002-9629,,3.1
197,The American Journal of Medicine,, 1555-7162, 0002-9343,,5.9
198,American Journal of Medicine Open,, 2667-0364,,,
199,The American Journal of Medicine Supplements, 1548-2766,,,,
200,American Journal of Obstetrics and Gynecology,, 1097-6868, 0002-9378,,9.8
201,American Journal of Obstetrics & Gynecology MFM,, 2589-9333,,,6.3
202,American Journal of Ophthalmology,, 1879-1891, 0002-9394,,4.2
203,American Journal of Ophthalmology Case Reports,, 2451-9936,,,4.2
204,American Journal of Orthodontics, 0002-9416,,,,
205,American Journal of Orthodontics and Dentofacial Orthopedics,, 1097-6752, 0889-5406,,3
206,American Journal of Orthodontics and Oral Surgery, 0096-6347,,,,
207,American Journal of Otolaryngology,, 1532-818X, 0196-0709,,2.5
208,The American Journal of Pathology,, 1525-2191, 0002-9440,,6
209,American Journal of Pharmaceutical Education, 0002-9459,,,,3.3
210,American Journal of Preventive Cardiology,, 2666-6677,,,4.1
211,American Journal of Preventive Medicine,, 1873-2607, 0749-3797,,5.5
212,The American Journal of Surgery,, 1879-1883, 0002-9610,,3
213,American Journal of Transplantation, 1600-6135,,,,8.8
214,American Pharmacy, 0160-3450,,,,
215,Ampersand,, 2215-0390,,,
216,Anaerobe,, 1095-8274, 1075-9964,,2.3
217,Anaesthesia Critical Care & Pain Medicine,, 2352-5568,,,5.5
218,Anaesthesia & Intensive Care Medicine,, 1878-7584, 1472-0299,,0.3
219,Anais Brasileiros de Dermatologia,, 1806-4841,, 0365-0596,2.1
220,Anales de Antropología, 0185-1225,,,,
221,Anales de Cirugía Vascular, 1130-2542,,,,
222,Anales de Pediatría,, 1695-9531, 1695-4033,,2.1
223,Anales de Pediatría Continuada, 1696-2818,,,,
224,Anales de Pediatría (English Edition),, 2341-2879,,,
225,Analysis and Intervention in Developmental Disabilities, 0270-4684,,,,
226,Analytic Methods in Accident Research,, 2213-6665, 2213-6657,,12.9
227,Analytica Chimica Acta,, 1873-4324, 0003-2670,,6.2
228,Analytica Chimica Acta: X, 2590-1346,,,,
229,Analytical Biochemistry,, 1096-0309, 0003-2697,,2.9
230,Analytical Chemistry Research, 2214-1812,,,,
231,Anesthesia History Association Newsletter, 1089-9634,,,,
232,Anesthésie & Réanimation,, 2352-5819, 2352-5800,,0.2
233,Anesthesiology Clinics,, 2210-3538, 1932-2275,,
234,Anesthesiology Clinics of North America, 0889-8537,,,,
235,Angiología, 0003-3170,,,,
236,Angiologia e Cirurgia Vascular, 1646-706X,,,,
237,animal,, 1751-732X,, 1751-7311,3.7
238,Animal Behaviour,, 1095-8282, 0003-3472,,2.5
239,Animal Behaviour Monographs, 0066-1856,,,,
240,Animal Feed Science and Technology,, 1873-2216, 0377-8401,,3.2
241,Animal Gene,, 2352-4065,,,3.5
242,Animal Nutrition,, 2405-6383, 2405-6545,,6.3
243,Animal - Open Space, 2772-6940,,,,
244,Animal Reproduction Science,, 1873-2232, 0378-4320,,2.2
245,Animal - Science proceedings,, 2772-283X,,,
246,Annales de Cardiologie et d'Angéiologie,, 1768-3181, 0003-3928,,
247,Annales de Chimie Science des Matériaux, 0151-9107,,,,
248,Annales de Chirurgie, 0003-3944,,,,
249,Annales de Chirurgie de la Main, 0753-9053,,,,
250,Annales de Chirurgie de la Main et du Membre Supérieur, 1153-2424,,,,
251,Annales de Chirurgie Plastique Esthétique,, 1768-319X, 0294-1260,,0.4
252,Annales de Chirurgie Vasculaire, 0299-2213,,,,
253,Annales de Dermatologie et de Vénéréologie - FMC,, 2667-0623, 2667-0631,,
254,Annales de Dermatologie et de Vénéréologie,, 2214-5451, 0151-9638,,0.9
255,Annales d'Endocrinologie,, 2213-3941, 0003-4266,,3.1
256,Annales Françaises d'Anesthésie et de Réanimation, 0750-7658,,,,
257,Annales françaises d'Oto-rhino-laryngologie et de Pathologie Cervico-faciale,, 1879-727X, 1879-7261,,
258,Annales de Génétique, 0003-3995,,,,
259,Annales de l'Institut Henri Poincare (B) Probability and Statistics, 0246-0203,,,,
260,"Annales de l'Institut Henri Poincaré C, Analyse non linéaire", 0294-1449,,,,
261,Annales de l'Institut Pasteur / Actualités, 0924-4204,,,,
262,Annales de l'Institut Pasteur / Immunologie, 0769-2625,,,,
263,Annales de l'Institut Pasteur / Microbiologie, 0769-2609,,,,
264,Annales de l'Institut Pasteur / Virologie, 0769-2617,,,,
265,"Annales Médico-psychologiques, revue psychiatrique",, 1769-6631, 0003-4487,,0.6
266,Annales d'Otolaryngologie et de Chirurgie Cervico-faciale, 0003-438X,,,,
267,Annales de Paléontologie,, 1778-3666, 0753-3969,,1
268,Annales de Pathologie,, 2213-008X, 0242-6498,,0.5
269,Annales Pharmaceutiques Françaises,, 2772-803X, 0003-4509,,1.3
270,Annales des Ponts et Chaussées, 0152-9668,,,,
271,Annales de Réadaptation et de Médecine Physique, 0168-6054,,,,
272,Annales des Sciences Naturelles - Zoologie et Biologie Animale, 0003-4339,,,,
273,Annales Scientifiques de l'École Normale Supérieure, 0012-9593,,,,
274,Annales d'Urologie, 0003-4401,,,,
275,Annals of Agrarian Science, 1512-1887,,,,
276,Annals of Agricultural Sciences,, 2090-8377, 0570-1783,,5.9
277,"Annals of Allergy, Asthma & Immunology",, 1534-4436, 1081-1206,,5.9
278,Annals of Anatomy - Anatomischer Anzeiger,, 1618-0402, 0940-9602,,2.2
279,Annals of Botany, 0305-7364,,,,
280,Annals of Diagnostic Pathology,, 1532-8198, 1092-9134,,2
281,Annals of Emergency Medicine,, 1097-6760, 0196-0644,,6.2
282,Annals of Epidemiology,, 1873-2585, 1047-2797,,5.6
283,Annals of Global Health, 2214-9996,,,,
284,Annals of Hepatology,, 2659-5982,, 1665-2681,3.4
285,Annals of the ICRP, 0146-6453,,,,
286,Annals of the ICRP/ICRP Publication, 0074-2740,,,,
287,Annals of Mathematical Logic, 0003-4843,,,,
288,Annals of Medicine and Surgery, 2049-0801,,,,
289,Annals of Nuclear Energy,, 1873-2100, 0306-4549,,1.9
290,Annals of Nuclear Science and Engineering, 0302-2927,,,,
291,The Annals of Occupational Hygiene, 0003-4878,,,,
292,Annals of Oncology, 0923-7534,,,,50.5
293,Annals of Physical and Rehabilitation Medicine,, 1877-0665, 1877-0657,,4.6
294,Annals of Physics,, 1096-035X, 0003-4916,,3
295,Annals of Pure and Applied Logic,, 1873-2461, 0168-0072,,0.8
296,The Annals of Thoracic Surgery,, 1552-6259, 0003-4975,,4.6
297,Annals of Thoracic Surgery Short Reports, 2772-9931,,,,
298,Annals of Tourism Research,, 1873-7722, 0160-7383,,13.2
299,Annals of Tourism Research Empirical Insights,, 2666-9579,,,13.2
300,Annals of Vascular Surgery,, 1615-5947, 0890-5096,,1.5
301,Annals of Vascular Surgery - Brief Reports and Innovations, 2772-6878,,,,
302,Annals of 3D Printed Medicine,, 2666-9641,,,
303,L'Année Biologique, 0003-5017,,,,
304,Annual Review in Automatic Programming, 0066-4138,,,,
305,Annual Review of Fish Diseases, 0959-8030,,,,
306,Annual Reviews in Control,, 1872-9088, 1367-5788,,9.4
307,Ansiedad y Estrés, 1134-7937,,,,
308,Anthropocene,, 2213-3054,,,3.6
309,L'Anthropologie,, 1873-5827, 0003-5521,,0.5
310,Antibiotiques, 1294-5501,,,,
311,Antimicrobic Newsletter, 0738-1751,,,,
312,Antimicrobics and Infectious Diseases Newsletter, 1069-417X,,,,
313,Antiviral Research,, 1872-9096, 0166-3542,,7.6
314,Anuario Mexicano de Derecho Internacional, 1870-4654,,,,
315,Anuario de Psicología, 0066-5126,,,,
316,Anuario de Psicología Jurídica, 1133-0740,,,,
317,AORN Journal, 0001-2092,,,,
318,APCBEE Procedia, 2212-6708,,,,
319,Apollo Medicine, 0976-0016,,,,
320,Appetite,, 1095-8304, 0195-6663,,5.4
321,Applications in Energy and Combustion Science,, 2666-352X,,,
322,Applications in Engineering Science, 2666-4968,,,,6.6
323,Applications of Surface Science, 0378-5963,,,,
324,Applied Acoustics,, 1872-910X, 0003-682X,,3.4
325,Applied Animal Behaviour Science,, 1872-9045, 0168-1591,,2.3
326,Applied Animal Ethology, 0304-3762,,,,
327,Applied Animal Science,, 2590-2865, 2590-2873,,1.5
328,Applied Behavioral Science Review, 1068-8595,,,,
329,Applied Catalysis, 0166-9834,,,,
330,Applied Catalysis A: General,, 1873-3875, 0926-860X,,5.5
331,Applied Catalysis B: Environmental,, 1873-3883, 0926-3373,,22.1
332,Applied Clay Science,, 1872-9053, 0169-1317,,5.6
333,Applied and Computational Harmonic Analysis,, 1096-603X, 1063-5203,,2.5
334,Applied Computing and Geosciences,, 2590-1974,,,3.4
335,Applied Computing and Informatics, 2210-8327,,,,
336,Applied Corpus Linguistics,, 2666-7991,,,
337,Applied Energy,, 1872-9118, 0306-2619,,11.2
338,Applied Ergonomics,, 1872-9126, 0003-6870,,3.2
339,Applied Food Research, 2772-5022,,,,
340,Applied Geochemistry,, 1872-9134, 0883-2927,,3.4
341,Applied Geography,, 1873-7730, 0143-6228,,4.9
342,Applied Materials Today,, 2352-9415, 2352-9407,,8.3
343,Applied Mathematical Modelling,, 1872-8480, 0307-904X,,5
344,Applied Mathematics and Computation,, 1873-5649, 0096-3003,,4
345,Applied Mathematics Letters,, 1873-5452, 0893-9659,,3.7
346,Applied Numerical Mathematics,, 1873-5460, 0168-9274,,2.8
347,Applied Nursing Research,, 1532-8201, 0897-1897,,2.2
348,Applied Ocean Research,, 1879-1549, 0141-1187,,4.3
349,Applied and Preventive Psychology, 0962-1849,,,,
350,Applied Radiation and Isotopes,, 1872-9800, 0969-8043,,1.6
351,Applied Research in Mental Retardation, 0270-3092,,,,
352,Applied Soft Computing,, 1872-9681, 1568-4946,,8.7
353,Applied Soil Ecology,, 1873-0272, 0929-1393,,4.8
354,Applied Superconductivity, 0964-1807,,,,
355,Applied Surface Science,, 1873-5584, 0169-4332,,6.7
356,Applied Surface Science Advances,, 2666-5239,,,6.2
357,Applied Thermal Engineering,, 1873-5606, 1359-4311,,6.4
358,Applied & Translational Genomics, 2212-0661,,,,
359,APS Journal, 1058-9139,,,,
360,Apunts. Medicina de l'Esport, 1886-6581,,,,
361,Apunts Sports Medicine,, 2666-5069,,,1.1
362,Aquacultural Engineering,, 1873-5614, 0144-8609,,4
363,Aquaculture,, 1873-5622, 0044-8486,,4.5
364,Aquaculture and Fisheries,, 2468-550X, 2096-1758,,
365,Aquaculture Reports,, 2352-5134,,,3.7
366,Aquatic Botany,, 1879-1522, 0304-3770,,1.8
367,Aquatic Ecosystem Health and Management, 1463-4988,,,,
368,Aquatic Living Resources, 0990-7440,,,,
369,Aquatic Procedia, 2214-241X,,,,
370,Aquatic Toxicology,, 1879-1514, 0166-445X,,4.5
371,Arab Economic and Business Journal, 2214-4625,,,,
372,Arab Journal of Gastroenterology,, 2090-2387, 1687-1979,,1.4
373,Arab Journal of Mathematical Sciences, 1319-5166,,,,
374,Arab Journal of Urology, 2090-598X,,,,
375,Arabian Journal of Chemistry,, 1878-5379, 1878-5352,,6
376,Archaeological Research in Asia,, 2352-2275, 2352-2267,,1.5
377,"Archaeology, Ethnology and Anthropology of Eurasia", 1563-0110,,,,
378,Archiv für Protistenkunde, 0003-9365,,,,
379,Archives of Biochemistry and Biophysics,, 1096-0384, 0003-9861,,3.9
380,Archives of Cardiovascular Diseases,, 1875-2128, 1875-2136,,3
381,Archives of Cardiovascular Diseases Supplements,, 1878-6502, 1878-6480,,18
382,Archives of Civil and Mechanical Engineering, 1644-9665,,,,
383,Archives of Clinical Neuropsychology, 0887-6177,,,,
384,Archives of Gerontology and Geriatrics,, 1872-6976, 0167-4943,,4
385,Archives of Gerontology and Geriatrics Plus, 2950-3078,,,,4
386,Archives des Maladies du Coeur et des Vaisseaux - Pratique,, 2405-4313, 1261-694X,,
387,Archives des Maladies Professionnelles et de l'Environnement,, 1778-4190, 1775-8785,,0.4
388,Archives of Medical Research,, 1873-5487, 0188-4409,,7.7
389,Archives of Oral Biology,, 1879-1506, 0003-9969,,3
390,Archives de Pédiatrie,, 1769-664X, 0929-693X,,1.8
391,Archives of Physical Medicine and Rehabilitation,, 1532-821X, 0003-9993,,4.3
392,Archives of Psychiatric Nursing,, 1532-8228, 0883-9417,,2.3
393,Archives of Rehabilitation Research and Clinical Translation,, 2590-1095,,,4.3
394,Archivos de Bronconeumología,, 1579-2129, 0300-2896,,8
395,Archivos de Bronconeumología (English Edition), 1579-2129,,,,
396,Archivos de la Sociedad Española de Oftalmología,, 1989-7286, 0365-6691,,
397,Archivos de la Sociedad Española de Oftalmología (English Edition),, 2173-5794,,,
398,Area Pediatrica, 1591-0075,,,,
399,Array,, 2590-0056,,,
400,Art Psychotherapy, 0090-9092,,,,
401,Artery Research, 1872-9312,,,,
402,Arthroplasty Today,, 2352-3441,,,
403,Arthropod Structure & Development,, 1873-5495, 1467-8039,,2
404,Arthroscopy: The Journal of Arthroscopic & Related Surgery,, 1526-3231, 0749-8063,,4.7
405,"Arthroscopy, Sports Medicine, and Rehabilitation",, 2666-061X,,,4.7
406,Arthroscopy Techniques,, 2212-6287,,,1.2
407,Artificial Intelligence,, 1872-7921, 0004-3702,,14.4
408,Artificial Intelligence in Agriculture,, 2589-7217,,,
409,Artificial Intelligence Chemistry, 2949-7477,,,,
410,Artificial Intelligence in Engineering, 0954-1810,,,,
411,Artificial Intelligence in Geosciences,, 2666-5441,,,
412,Artificial Intelligence in the Life Sciences,, 2667-3185,,,
413,Artificial Intelligence in Medicine,, 1873-2860, 0933-3657,,7.5
414,The Arts in Psychotherapy,, 1873-5878, 0197-4556,,1.8
415,Asia-Australia Marketing Journal, 1320-1646,,,,
416,Asia and the Global Economy, 2667-1115,,,,
417,The Asia Pacific Heart Journal, 1328-0163,,,,
418,Asia-Pacific Journal of Ophthalmology, 2162-0989,,,,
419,"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",, 2214-6873,,,2.1
420,The Asia Pacific Journal of Thoracic & Cardiovascular Surgery, 1324-2881,,,,
421,Asia Pacific Management Review,, 2589-8213, 1029-3132,,4.4
422,Asia-Pacific Science Education, 2364-1177,,,,
423,Asia-Pacific Journal of Oncology Nursing, 2347-5625,,,,1.8
424,Asian Journal of Anesthesiology, 2468-824X,,,,
425,Asian Journal of Oral and Maxillofacial Surgery, 0915-6992,,,,
426,Asian Journal of Organic Chemistry, 2193-5807,,,,
427,Asian Journal of Pharmaceutical Sciences,, 2221-285X, 1818-0876,,10.2
428,Asian Journal of Psychiatry,, 1876-2026, 1876-2018,,9.5
429,The Asian Journal of Shipping and Logistics,, 2352-4871, 2092-5212,,3.1
430,Asian Journal of Social Science,, 2212-3857,, 1568-4849,0.7
431,Asian Journal of Sport and Exercise Psychology,, 2667-2391,,,
432,Asian Journal of Surgery,, 0219-3108, 1015-9584,,3.5
433,Asian Journal of Urology,, 2214-3890, 2214-3882,,2.6
434,Asian Nursing Research,, 2093-7482, 1976-1317,,2.2
435,Asian Pacific Journal of Reproduction, 2305-0500,,,,
436,Asian Pacific Journal of Tropical Biomedicine, 2221-1691,,,,
437,Asian Pacific Journal of Tropical Disease, 2222-1808,,,,
438,Asian Pacific Journal of Tropical Medicine, 1995-7645,,,,
439,Asian Transport Studies,, 2185-5560,,,
440,Aspects of Molecular Medicine, 2949-6888,,,,10.6
441,Assessing Writing,, 1873-5916, 1075-2935,,3.9
442,Asthma Magazine, 1088-0712,,,,
443,Astronomy and Computing,, 2213-1345, 2213-1337,,2.5
444,Astronomy Quarterly, 0364-9229,,,,
445,Astroparticle Physics,, 1873-2852, 0927-6505,,3.5
446,Atención Familiar, 1405-8871,,,,
447,Atención Primaria,, 1578-1275, 0212-6567,,2.5
448,Atención Primaria Práctica,, 2605-0730,,,2.5
449,Atherosclerosis,, 1879-1484, 0021-9150,,5.3
450,Atherosclerosis Plus,, 2667-0895, 2667-0909,,1.6
451,Atherosclerosis Supplements, 1567-5688,,,,
452,Atlas of the Oral and Maxillofacial Surgery Clinics,, 1558-4275, 1061-3315,,
453,Atmósfera, 0187-6236,,,,
454,Atmospheric Environment,, 1878-2442, 1352-2310,,5
455,Atmospheric Environment. Part A. General Topics, 0960-1686,,,,
456,Atmospheric Environment. Part B. Urban Atmosphere, 0957-1272,,,,
457,Atmospheric Environment: X,, 2590-1621,,,4.6
458,Atmospheric Environment (1967), 0004-6981,,,,
